name,lat_NS,long_EW,elevation,q,q_uncertainty,T_grad_mean,T_grad_uncertainty,T_grad_mean_cor,tc_mean,tc_uncertainty,total_depth_MD,geo_lithology,geo_stratigraphy,Region,Quality_Code
BFZ-7528,43.6267,-120.456,1520.0,66.0,,66.0,,,1.0,,,,,,Ux.Mx.-------
BFZ-7528,43.6267,-120.456,1520.0,75.0,,39.0,,,1.9,,,,,,Ux.Mx.-------
BFZ-FBS,43.6167,-120.473,1550.0,75.0,,73.0,,,1.0,,,,,,Ux.Mx.-------
BFZ-FBS,43.6167,-120.473,1550.0,83.0,,50.0,,,1.6,,,,,,Ux.Mx.-------
BFZ-FBS,43.6167,-120.473,1550.0,83.0,,44.0,,,1.9,,,,,,Ux.Mx.-------
BFZ-MB,43.7317,-121.361,1515.0,100.0,,65.0,,,1.5,,,,,,Ux.Mx.-------
BFZ-PMS,43.7533,-120.936,1476.0,58.0,,30.0,,,1.8,,,,,,Ux.Mx.-------
BFZ-PMS,43.7533,-120.936,1476.0,96.0,,55.0,,,1.8,,,,,,Ux.Mx.-------
BFZ-PMW,43.8133,-120.99,1428.0,96.0,,52.0,,,1.8,,,,,,Ux.Mx.-------
BROOK LN,44.5383,-123.285,73.0,33.0,,15.0,,,1.3,,,,,,Ux.Mx.-------
CDR CK,44.83,-122.245,705.0,51.0,,28.0,,,1.8,,,,,,Ux.Mx.-------
CR-BHS,44.9517,-122.171,655.0,97.0,,66.0,,,1.4,,,,,,Ux.Mx.-------
CRITRN 1,45.0417,-120.995,940.0,71.0,,44.0,,,1.6,,,,,,Ux.Mx.-------
CS-WW,43.8,-122.415,719.0,45.0,,38.0,,,1.2,,,,,,Ux.Mx.-------
CS-WW,43.8,-122.415,719.0,39.0,,25.0,,,1.6,,,,,,Ux.Mx.-------
CWW,44.8617,-122.881,127.0,39.0,,24.0,,,1.6,,,,,,Ux.Mx.-------
CWW,44.06,-122.785,327.0,40.0,,25.0,,,1.6,,,,,,Ux.Mx.-------
DDH-15,44.1533,-122.246,367.0,68.0,,51.0,,,1.3,,,,,,Ux.Mx.-------
DEPOEB-2,44.7967,-124.065,27.0,29.0,,18.1,,,1.6,,,,,,Ux.Mx.-------
ER-WW,43.9317,-122.908,218.0,36.0,,31.0,,,1.2,,,,,,Ux.Mx.-------
EWEB-1,44.3883,-121.993,955.0,33.0,,23.0,,,1.4,,,,,,Ux.Mx.-------
H-1-WW,44.8883,-122.708,303.0,47.0,,27.0,,,1.7,,,,,,Ux.Mx.-------
LEBN GLF,44.4933,-122.851,170.0,45.0,,28.0,,,1.6,,,,,,Ux.Mx.-------
LOT24WW,44.24,-120.966,1002.0,103.0,,70.0,,,1.5,,,,,,Ux.Mx.-------
MCLEOD R,45.0817,-120.963,802.0,70.0,,44.0,,,1.6,,,,,,Ux.Mx.-------
MC-WW,45.005,-122.656,285.0,40.0,,34.0,,,1.2,,,,,,Ux.Mx.-------
MR-WW,44.4317,-122.715,402.0,53.0,,39.0,,,1.3,,,,,,Ux.Mx.-------
OW B1,45.0083,-123.511,105.0,30.0,,23.0,,,1.3,,,,,,Ux.Mx.-------
OW GPC,43.8017,-123.876,14.0,25.0,,18.0,,,1.3,,,,,,Ux.Mx.-------
OW LCD,44.575,-122.841,108.0,30.0,,18.0,,,1.6,,,,,,Ux.Mx.-------
OW W1,44.9783,-122.645,214.0,41.0,,26.0,,,1.6,,,,,,Ux.Mx.-------
OWM1,44.71,-123.033,65.0,41.0,,31.0,,,1.3,,,,,,Ux.Mx.-------
RDH-MTCK,44.625,-121.935,762.0,105.0,,64.0,,,1.6,,,,,,Ux.Mx.-------
RDH-RBCK,44.0183,-122.163,780.0,92.0,,65.0,,,1.4,,,,,,Ux.Mx.-------
RL-WW,44.6233,-122.721,158.0,35.0,,26.0,,,1.3,,,,,,Ux.Mx.-------
TWW,45.0467,-122.618,326.0,44.0,,37.0,,,1.2,,,,,,Ux.Mx.-------
TWW,45.0467,-122.618,326.0,45.0,,28.0,,,1.6,,,,,,Ux.Mx.-------
WOLF MDW,44.3033,-122.12,999.0,110.0,,75.0,,,1.4,,,,,,Ux.Mx.-------
AN-B-62,42.31,-118.653,1264.2,66.0,,66.0,,,1.0,,,,,,Ux.Mx.-------
AN-B-62,42.31,-118.653,1264.2,66.0,,56.0,,,1.2,,,,,,Ux.Mx.-------
P-21,42.3417,-118.55,1264.4,58.0,,46.0,,,1.2,,,,,,Ux.Mx.-------
P-22,42.3617,-118.633,1234.9,84.0,,67.0,,,1.2,,,,,,Ux.Mx.-------
W-25,42.25,-118.626,1246.1,71.0,,66.0,,,1.0,,,,,,Ux.Mx.-------
W-30,42.4467,-118.593,1244.9,41.0,,42.0,,,1.0,,,,,,Ux.Mx.-------
W-32,42.42,-118.563,1231.1,43.0,,41.0,,,1.0,,,,,,Ux.Mx.-------
W-7,42.3283,-118.546,1281.4,38.0,,34.0,,,1.0,,,,,,Ux.Mx.-------
W-8,42.3417,-118.553,1256.1,66.0,,65.0,,,1.0,,,,,,Ux.Mx.-------
A TALBOT,48.885,-118.6,548.0,68.0,,29.0,,,2.3,,,,,,Ux.Mx.-------
ACI CAMP,48.145,-117.22,740.0,57.0,,27.0,,,2.0,,,,,,Ux.Mx.-------
ANDSN1,46.3117,-119.756,420.0,53.0,,34.0,,,1.6,,,,,,Ux.Mx.-------
ANDSN1,46.3117,-119.756,420.0,98.0,,62.0,,,1.6,,,,,,Ux.Mx.-------
BADGER,46.8883,-120.39,664.0,45.0,,29.0,,,1.5,,,,,,Ux.Mx.-------
BATTELLE,46.3617,-119.268,115.0,63.0,,40.0,,,1.6,,,,,,Ux.Mx.-------
BATTELLE,46.3617,-119.268,115.0,66.0,,42.0,,,1.6,,,,,,Ux.Mx.-------
BNG CTY1,45.7117,-121.46,46.0,56.0,,35.0,,,1.6,,,,,,Ux.Mx.-------
BRADLEY,45.71,-121.305,161.0,53.0,,33.0,,,1.6,,,,,,Ux.Mx.-------
CHAPPELL,46.4167,-120.118,366.0,69.0,,43.0,,,1.6,,,,,,Ux.Mx.-------
CHAPPELL,46.4167,-120.118,366.0,78.0,,49.0,,,1.6,,,,,,Ux.Mx.-------
D BLACK,47.605,-117.298,914.0,48.0,,20.0,,,2.4,,,,,,Ux.Mx.-------
DDH-1,44.2917,-114.795,2292.0,43.0,,14.0,,,2.9,,,,,,Ux.Mx.-------
DDH-1,48.3617,-118.875,1182.0,68.0,,20.0,,,3.3,,,,,,Ux.Mx.-------
DDH-13,44.5017,-114.236,1570.0,58.0,,29.0,,,2.0,,,,,,Ux.Mx.-------
DDH-13,43.0267,-116.783,596.0,87.0,,33.0,,,2.6,,,,,,Ux.Mx.-------
DDH-2,44.2917,-114.796,2317.0,85.0,,29.0,,,2.9,,,,,,Ux.Mx.-------
DDH-3,48.665,-118.771,960.0,75.0,,31.0,,,2.4,,,,,,Ux.Mx.-------
DDH-A,45.095,-116.685,1463.0,48.0,,18.0,,,2.6,,,,,,Ux.Mx.-------
DECOLC-7,46.55,-120.668,425.0,50.0,,34.0,,,1.5,,,,,,Ux.Mx.-------
DECOLC-7,46.55,-120.668,425.0,94.0,,64.0,,,1.5,,,,,,Ux.Mx.-------
DNR-SCN1,47.71,-121.141,841.0,99.0,,48.0,,,2.0,,,,,,Ux.Mx.-------
DNR-SCN1,47.71,-121.141,841.0,114.0,,55.0,,,2.0,,,,,,Ux.Mx.-------
DOE PAT,46.0433,-119.641,222.0,38.0,,23.0,,,1.6,,,,,,Ux.Mx.-------
DOE TST5,47.575,-118.933,562.0,93.0,,58.0,,,1.6,,,,,,Ux.Mx.-------
DOE WILB,47.7533,-118.708,684.0,84.0,,52.0,,,1.6,,,,,,Ux.Mx.-------
DOETST6,47.5783,-118.271,720.0,84.0,,53.0,,,1.6,,,,,,Ux.Mx.-------
DOETST6,47.5783,-118.271,720.0,93.0,,58.0,,,1.6,,,,,,Ux.Mx.-------
DOETST7,45.9167,-120.19,706.0,43.0,,17.0,,,1.6,,,,,,Ux.Mx.-------
DOETST7,45.9167,-120.19,706.0,78.0,,49.0,,,1.6,,,,,,Ux.Mx.-------
F SHINN,47.0033,-119.528,345.0,79.0,,49.0,,,1.6,,,,,,Ux.Mx.-------
FOSTER,45.9917,-120.381,1116.0,59.0,,37.0,,,1.6,,,,,,Ux.Mx.-------
FOSTER,45.9917,-120.381,1116.0,65.0,,41.0,,,1.6,,,,,,Ux.Mx.-------
FOSTER,45.9917,-120.381,1116.0,104.0,,64.0,,,1.6,,,,,,Ux.Mx.-------
GARETSON,46.4583,-120.225,390.0,52.0,,32.0,,,1.6,,,,,,Ux.Mx.-------
GLDL 1,45.825,-120.816,506.0,55.0,,34.0,,,1.6,,,,,,Ux.Mx.-------
GLDL1,45.825,-120.816,506.0,71.0,,45.0,,,1.6,,,,,,Ux.Mx.-------
GROSS,45.6117,-122.125,268.0,56.0,,54.0,,,1.0,,,,,,Ux.Mx.-------
GROSS,45.6117,-122.125,268.0,72.0,,45.0,,,1.6,,,,,,Ux.Mx.-------
H FREER,45.8833,-120.926,585.0,39.0,,24.0,,,1.6,,,,,,Ux.Mx.-------
J MOTT,45.7367,-121.181,512.0,53.0,,33.0,,,1.6,,,,,,Ux.Mx.-------
KADOW,45.61,-122.183,271.0,37.0,,36.0,,,1.0,,,,,,Ux.Mx.-------
KADOW,45.61,-122.183,271.0,38.0,,36.0,,,1.5,,,,,,Ux.Mx.-------
LCMPK 3,46.5333,-122.551,146.0,38.0,,23.0,,,1.7,,,,,,Ux.Mx.-------
LD LEWIS,48.88,-118.588,679.0,79.0,,34.0,,,2.3,,,,,,Ux.Mx.-------
M MOE,47.6817,-117.513,627.0,65.0,,41.0,,,1.6,,,,,,Ux.Mx.-------
